MAG,LAT,LON,DEPTH,EVID
4.5800,37.6300,-118.8560,6.0000,3260447
3.2700,33.7380,-115.9220,7.0000,3260451
3.0400,34.3610,-118.6570,14.1000,3261066
3.0600,34.3780,-116.4610,1.2000,3261089
3.0300,34.3780,-116.4610,1.0000,3261157
3.9000,34.3770,-116.4600,1.2000,3261222
3.0700,35.9610,-117.0290,6.0000,3261593
3.1300,34.6220,-116.5640,8.4000,3261930
3.0200,37.6360,-118.8840,5.3000,3261992
3.3300,37.5940,-118.8350,6.0000,3262049
3.9000,36.8750,-121.6070,5.0000,3262190
4.2000,36.8840,-121.6160,5.0000,3262195
3.1000,34.1350,-116.8540,11.2000,3262277
3.2200,33.7330,-115.9190,8.0000,3262281
3.2200,37.5170,-118.8160,6.0000,3262290
3.4100,37.6330,-118.9290,6.0000,3262325
3.5500,37.6320,-118.9290,6.0000,3262326
3.6900,37.5130,-118.8560,6.0000,3262480
3.3100,33.7360,-115.9220,7.8000,3262968
3.7000,36.9020,-121.6330,6.0000,7029328
3.7000,36.9020,-121.6350,6.0000,7029329
4.0900,34.3540,-118.7030,14.4000,3263467
3.1000,37.5940,-118.8490,6.0000,3264074
3.0000,37.5960,-118.8580,6.0000,3264076
3.1700,38.3890,-118.3690,6.0000,3264423
3.4100,35.7350,-117.6270,5.5000,3264709
3.4000,33.3460,-116.2220,10.8000,3265173
3.1500,33.1510,-115.6420,4.1000,3265392
3.3800,33.1490,-115.6450,4.2000,3265309
3.4900,33.1450,-115.6440,10.8000,3265331
3.2800,37.6530,-118.8640,6.0000,3265424
3.4900,34.0440,-118.2070,11.5000,3265445
3.5000,39.0630,-115.3320,5.0000,3266376
3.4000,38.8510,-119.6010,5.0000,3266378
3.1600,35.0190,-116.9580,3.3000,3266854
3.4000,38.7970,-119.5320,5.0000,3267072
3.2400,34.2300,-117.4770,8.6000,3267376
3.0300,37.6210,-118.9200,6.0000,3267885
3.0600,37.6260,-118.9210,6.0000,3267595
3.7200,37.6310,-118.9190,6.5000,3267659
4.4400,37.5260,-118.8290,6.0000,3267837
3.3700,37.6370,-118.8530,6.0000,3268109
3.3000,36.6000,-121.2060,9.0000,3268223
3.1700,33.1800,-115.5970,3.7000,3268247
3.1000,38.6610,-119.6740,5.0000,3268259
3.1200,37.5330,-118.8360,6.0000,3268681
3.8000,38.6400,-119.4890,4.0000,3268886
3.1600,37.4620,-118.8810,0.0000,3269382
3.3200,35.7790,-121.3030,0.1000,3269474
3.6600,35.7790,-121.3630,0.0000,3269513
3.4600,33.9950,-116.2980,5.2000,3269588
3.0000,36.5700,-121.1570,4.0000,3270320
3.0700,35.0980,-117.0090,5.8000,3270707
3.3000,35.7690,-121.2530,3.0000,3270951
3.0100,37.5410,-118.8670,6.0000,3271025
3.3400,33.9960,-116.8140,12.5000,3271205
3.0400,35.8200,-116.5870,6.0000,3271209
3.3700,35.0000,-116.9490,6.0000,3271353
3.3100,35.0010,-116.9490,6.0000,3271377
3.2900,36.7250,-116.2690,6.0000,3271668
3.1900,35.6940,-119.4330,6.0000,3271790
3.3600,33.9890,-116.2760,5.2000,3271840
3.0600,32.0220,-114.9750,6.0000,3272576
3.2800,32.0070,-115.7790,6.0000,3272820
3.5000,38.7940,-118.7060,5.0000,3272743
3.2600,34.0790,-116.7820,12.8000,3272788
3.3300,33.2590,-116.2870,9.1000,3273396
3.2000,36.7620,-121.4390,10.0000,3273407
4.3000,34.5990,-116.2800,6.0000,3273970
3.2700,35.7480,-117.4730,9.7000,3274069
3.2900,33.9630,-116.8880,18.3000,3274131
3.7000,39.3580,-116.6490,5.0000,3274224
3.0000,34.6060,-116.2840,6.0000,3274262
3.0900,37.5310,-118.7710,0.0000,3274303
3.3000,32.9640,-119.1380,6.0000,3274502
3.0000,36.8850,-121.3980,9.0000,3274891
3.0000,34.0400,-118.9640,15.3000,3275096
3.1200,35.3300,-120.9830,3.5000,3275108
3.0100,37.3980,-118.6040,6.0000,3275409
3.3000,38.7730,-119.5610,5.0000,3275480
4.0500,32.3770,-115.3790,6.0000,3275544
3.0000,35.7440,-117.6210,5.2000,3275754
3.5000,36.1170,-117.8540,6.3000,7041781
3.1700,35.1010,-117.4950,5.5000,7041796
3.3400,34.9780,-116.9520,5.9000,7041883
3.7000,36.7290,-116.2660,10.0000,7041927
3.1000,36.7260,-116.2850,5.0000,7041928
3.3300,36.1070,-117.8600,4.4000,7041979
3.8000,36.6370,-121.2490,8.0000,7042326
3.0200,35.0990,-117.4930,5.5000,7042493
3.6500,35.7980,-117.6320,5.4000,7042732
3.2000,36.2830,-120.3710,6.0000,7042894
3.8400,33.9060,-117.1450,14.1000,7042960
3.0000,35.8490,-121.3420,9.0000,7042986
3.0000,37.3100,-121.0490,0.0000,7043632
3.4000,36.6980,-121.3300,6.0000,7044352
3.1100,37.5170,-118.4780,1.8000,7044719
3.1900,36.4280,-120.0670,6.0000,7044869
3.2500,34.2950,-118.4430,5.4000,7045533
3.2000,33.1910,-115.5660,4.3000,7045642
4.2000,37.9420,-118.1470,3.0000,7045809
3.3500,35.4940,-118.2920,3.3000,7045996
